05.28.;lt;Rima Justas Jogirdas Augustinas
05.28.;ee;Roman Roome Roomet Roomo
05.29.;lv;Maksis Maksims Raivis Raivo
05.29.;lt;Algedas Magdalena Erdvilė Magdė Teodozija
05.29.;ee;Laido Leido Leidur Luulik
05.30.;lv;Vitolds Lolita Letīcija
05.30.;lt;Žana Ferdinandas Joana Žaneta Vyliaudas Jomilė
05.30.;ee;Argo Arro
05.31.;lv;Alīda Jūsma
05.31.;lt;Petrė Angelė Rimvilė Gintautas Petronėlė Nojus
05.31.;ee;Elga Helga Helge Helgi Helja Helje Heljo Helju Olga Olli
06.01.;lv;Biruta Mairita Bernedīne
06.01.;lt;Justinas Jogaila Galindė Konradas Juvencijus
06.01.;ee;Sireli Sirelin Sirle Sirli
06.02.;lv;Lība Emma
06.02.;lt;Eugenijus Auksė Ąžuolas Marcelinas Erazmas
06.02.;ee;Veevi Viiva Viive Viivi Viivia Viivika Vivian
06.03.;lv;Inta Ineta Intra
06.03.;lt;Karolis Klotilda Tautkantas Dovilė
06.03.;ee;Jolanta Kanni Kannike Viola
06.04.;lv;Elfrīda Sintija Sindija
06.04.;lt;Vincė Vincenta Vincentas Kornelijus Deimena Pranciškus Dausprungas
06.04.;ee;Toivo Tõivo Tõivot Tõivotu Tõivu
06.05.;lv;Igors Margots Ingvars
06.05.;lt;Kantautas Kantvydė Marcė Vinfridas Bonifacas
06.05.;ee;Vilimo Viljar Viljer Viljo Vilju
06.06.;lv;Ingrīda Ardis
06.06.;lt;Bogumilas Smiltė Paulina Mėta Norbertas Klaudijus Tauras
06.06.;ee;Pärle Piibe
06.07.;lv;Gaida Arnis Arno
06.07.;lt;Svajūnė Svajūnas Roberta Robertas Ratautas Radvydė Lukrecija
06.07.;ee;Robert Robi
06.08.;lv;Frīdis Frīda Mundra
06.08.;lt;Merūnas Medardas Eigintė
06.08.;ee;Enda Endla Enna Enne
06.09.;lv;Ligita Gita
06.09.;lt;Felicijus Gintė Vitalija Gintas Felicijonas Efremas
06.09.;ee;Elar Haljand Hallar Helar Helari Hellar
06.10.;lv;Malva Anatols Anatolijs
06.10.;lt;Galindas Diana Margarita Liutgarda Pelagija Vingailė
06.10.;ee;Amalie Maali Maila Maile Maili Mailis
06.11.;lv;Ingus Mairis Vidvuds
06.11.;lt;Barnabas Aluona Flora Tvirmantas
06.11.;ee;Imbi Imme
06.12.;lv;Nora Lenora Ija
06.12.;lt;Kristė Kristis Vilma Dovė Ramūnas Anupras Kristijonas
06.12.;ee;Eskel Esko
06.13.;lv;Zigfrīds Ainārs Uva
06.13.;lt;Antanas Kunotas Skalvė Akvilina
06.13.;ee;Monika Mooni Moonika
06.14.;lv;Tija Saiva Sentis Santis Saivis
06.14.;lt;Rufinas Valerijus Labvardas Digna Bazilijus Almina
06.14.;ee;Leina Leine Leini
06.15.;lv;Baņuta Žermēna Vilija Vits
06.15.;lt;Tanvilas Krescencija Bargailė Vitas Jolanta
06.15.;ee;Guido Kuido Viido Viit
06.16.;lv;Justīne Juta
06.16.;lt;Tolminas Julita Benas Jūra
06.16.;ee;Heelia Päive Päivi
06.17.;lv;Artūrs Artis
06.17.;lt;Adolfas Vilmantė Daugantas Grigalius Laura
06.17.;ee;Eugen Kenno
06.18.;lv;Alberts Madis
06.18.;lt;Arnulfas Marcelinas Morkus Ginbutas Marina Vaiva
06.18.;ee;Auli Aurelia Auri Reeli Reelika Reili
06.19.;lv;Viktors Nils
06.19.;lt;Romualdas Romas Dovilas Deodatas Ramunė Julijona
06.19.;ee;Sigrid Siiri Siivi
06.20.;lv;Rasma Rasa Maira
06.20.;lt;Nandas Florentina Žintautė Žadvainas Silverijus
06.20.;ee;Kaari Karlotte Karola Karoliine Karolin Lota
06.21.;lv;Emīls Egita Monvīds
06.21.;lt;Galminas Aloyzas Vasarė Alicija
06.21.;ee;Ahti Ahto
06.22.;lv;Ludmila Laimdots Laimiņš
06.22.;lt;Inocentas Tomas Kaributas Laima Paulinas
06.22.;ee;Liina Liine Paula Pauliine
06.23.;lv;Līga
